min_bt,max_bt,mean_bt,std_bt,bt_r0_20,bt_r20_50,bt_r50_70,bt_r70_100,grad_inner,grad_outer,bt_asym_index,vmax,vmean,vmin,Rmax,Rvmax_90,Rvmax_80,shear_mean,shear_deep,shear_shallow,shear_gradient,shear_cos,shear_sin,cps_sym,cps_depth,warm_core_index,wind_env_mag,wind_env_dir_x,wind_env_dir_y,twind_mean,twind_max,vort_mean,vort_max,vort_integral,ratio_eye_wall,ratio_wall_bt
193.1458,296.24036,267.16766,27.785707,232.76114,250.20897,265.8504,272.38806,17.44783,15.641434,21.55838,26.839998112169457,16.17087534437836,6.978303270636005,26.419689627245813,36.620307225942945,40.74067992480603,4.9726996,5.212282,4.733117,0.47916508,0.9220706,0.37484503,2.0,0.0,0.0,3.998369,-0.7095449,0.7046599,1.5514708,4.516561,-4.878691e-06,7.3260003e-07,-0.0001122099,0.930267,1.1839718
192.43103,294.9474,232.91814,27.04696,205.164,205.69693,209.83157,220.55453,0.53292847,4.1346436,18.309326,60.6,29.90913889631847,8.48291119035142,13.038404810405298,12.558846991824886,11.9431301737362,6.0857267,9.3725395,2.798914,6.5736256,-0.16873899,0.96214604,2.0,0.0,0.0,7.8429775,-0.9600417,0.2798565,0.8215308,2.5552542,-2.3517516e-06,6.1050005e-06,-5.4090287e-05,0.99740916,1.433893
189.4032,291.0526,229.62106,19.335413,205.07564,205.51334,216.1293,226.93764,0.43769836,10.615967,4.7061386,48.259999999999984,20.99369058146612,8.326911570045983,14.142135623730951,10.647817194592928,11.461984294478187,4.5219584,4.8517656,4.192151,0.65961456,-0.70472366,-0.68058765,2.0,0.0,0.0,7.7837443,-0.99557745,0.09394311,-0.08230173,3.2902102,-3.238305e-07,5.7387e-06,-7.4481018e-06,0.9978702,1.4162225
194.41235,294.0435,239.10588,27.08279,210.67342,207.03914,211.73221,216.7004,-3.6342773,4.6930695,6.716392,56.67999999999999,25.150854844125767,7.46058411183793,14.142135623730951,13.26207888036907,14.00647443994293,4.1452265,4.4351673,3.8552856,0.57988167,-0.8845075,0.36629948,2.0,0.0,0.0,7.723947,-0.9631409,0.26899672,0.40630656,2.811634,-1.0245783e-06,4.0293003e-06,-2.35653e-05,1.0175536,1.4202315
191.69583,295.92285,251.30208,29.156633,198.78891,208.48033,229.30336,240.8514,9.6914215,20.823029,16.034437,53.379999999999995,20.063195442557653,6.019110218008445,6.082762530298219,6.080823534381675,10.024606008309888,6.512625,9.18942,3.8358307,5.353589,0.22928393,0.8583037,2.0,0.0,0.0,6.5457773,-0.9856221,0.16896379,0.5826143,4.178994,-1.2050739e-06,4.3956e-06,-2.77167e-05,0.953514,1.4194281
190.49521,294.22296,228.81346,28.432102,216.70354,203.00513,205.95795,212.81522,-13.69841,2.9528198,14.349661,50.9,22.545171933543305,8.861924554902227,13.601470508735444,13.450246538251113,14.649241664024219,8.171959,10.329722,6.0141954,4.315527,-0.31457648,0.9436875,2.0,0.0,0.0,8.637263,-0.93917286,0.3434447,0.59896326,2.529616,-2.9569442e-06,5.4945003e-06,-6.8009715e-05,1.0674782,1.4493376
192.46599,294.9874,236.08914,29.087475,205.719,210.54807,212.34242,218.7476,4.829071,1.7943573,14.732376,35.7999999998905,28.856342271379273,18.21564012252388,44.04543109109048,47.11402007868477,52.221461072610026,6.899276,9.9116,3.8869514,6.0246487,0.26082557,0.91650975,2.0,0.0,0.0,5.6859274,0.24818939,0.96871144,1.2967626,6.285583,-5.239683e-06,1.7094001e-06,-0.00012051271,0.9770643,1.4010454
206.94707,295.3163,256.57413,26.951422,224.5002,231.17007,240.35751,245.47472,6.669876,9.187439,17.064148,31.399999969362124,17.809018111555105,5.28213015445533,36.05551275463989,37.91286841624814,33.79058338032551,3.85109,4.125389,3.5767908,0.5485983,0.81914604,0.5124655,2.0,0.0,0.0,3.273359,-0.566861,0.82381314,1.1355033,3.6662343,-6.2058652e-06,-1.7094001e-06,-0.0001427349,0.9711473,1.277485
191.9603,290.31268,228.93347,21.378138,203.99782,206.21295,207.31146,218.28072,2.2151337,1.0985107,9.542123,56.279999999999994,22.106301821470492,5.940322491684259,10.198039027185569,11.153412346434427,10.854792693776062,8.081354,11.4574375,4.70527,6.7521677,0.28421706,0.90802497,2.0,0.0,0.0,6.8161335,-0.9742883,0.22530417,0.50254196,3.610685,5.096348e-07,5.1282004e-06,1.17216005e-05,0.98925805,1.4078295
194.90979,296.22845,256.65796,30.4639,207.38571,218.41995,233.73697,251.19426,11.034241,15.317017,14.762167,32.53999983946422,16.900615076209878,5.299187143415384,49.09175083453431,33.55970633168682,34.63404487682743,2.0025315,2.583747,1.4213161,1.1624308,0.006445624,0.4685083,2.0,0.0,0.0,3.163817,-0.43947992,0.8982521,0.9835331,2.089497,-5.0114086e-06,1.3431e-06,-0.000115262395,0.94948155,1.3562335
