,sid,name,date,wind_speed (m/s),lon,lat,ir_path
125,sh062024,ANGGREK,2024-01-26 03:00:00,54,87.0,-16.6,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240126030000.nc
126,sh062024,ANGGREK,2024-01-26 06:00:00,54,86.5,-16.9,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240126060000.nc
127,sh062024,ANGGREK,2024-01-26 09:00:00,55,85.9,-17.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240126090000.nc
128,sh062024,ANGGREK,2024-01-26 12:00:00,57,85.3,-17.5,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240126120000.nc
129,sh062024,ANGGREK,2024-01-26 15:00:00,55,84.75,-17.85,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240126150000.nc
130,sh062024,ANGGREK,2024-01-26 18:00:00,54,84.2,-18.2,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240126180000.nc
131,sh062024,ANGGREK,2024-01-26 21:00:00,53,83.65,-18.45,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240126210000.nc
132,sh062024,ANGGREK,2024-01-27 00:00:00,51,83.1,-18.7,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240127000000.nc
133,sh062024,ANGGREK,2024-01-27 03:00:00,51,82.55,-18.85,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240127030000.nc
134,sh062024,ANGGREK,2024-01-27 06:00:00,51,82.0,-19.0,/scale/project/ifremer-isi-jumeaunumerique/PPR/tc-wind-reconstruction/datasets/geostationnaire/2024_Anggrek_GEO_IR/IR_20240127060000.nc
